2023-06-03 21:22:58[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-03 21:22:58[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-03 21:22:58[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-03 21:22:58[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-03 21:22:58[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-03 21:22:59[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-03 21:22:59[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-03 21:22:59[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-03 21:22:59[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-03 22:16:38[ INFO ]TestController: >>test测试成功
2023-06-03 22:16:38[ INFO ]UserController: >>login登录测试成功
2023-06-03 22:16:38[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-03 22:16:38[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-03 22:16:38[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-03 22:16:38[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-03 22:16:38[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-03 22:16:39[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-03 22:16:39[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-03 22:16:40[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-03 22:16:40[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-03 22:16:47[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-03 22:16:47[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-03 22:16:54[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-03 22:28:10[ INFO ]UserController: >>login登录测试成功
2023-06-03 22:28:10[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-03 22:28:10[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-03 22:28:10[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-03 22:28:11[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-03 22:28:11[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-03 22:29:13[ INFO ]UserController: >>login登录测试成功
2023-06-03 22:29:13[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-03 22:29:14[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-03 22:29:14[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-03 22:29:14[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-03 22:29:14[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-03 22:29:28[ INFO ]UserController: >>login登录测试成功
2023-06-03 22:29:28[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-03 22:29:29[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-03 22:29:29[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-03 22:29:29[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-03 22:29:29[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:15:09[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:15:09[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:15:09[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:15:09[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:15:09[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:15:09[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:17:37[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:17:44[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:17:45[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:17:45[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:17:45[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:17:45[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:17:45[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:23:07[ INFO ]TestController: >>test测试成功
2023-06-05 11:23:07[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:23:08[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:23:08[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:23:08[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:23:08[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:23:08[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:23:09[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:23:09[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:23:10[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:23:10[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:23:10[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:23:10[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:23:10[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:34:59[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:34:59[ INFO ]User: >>equals测试成功
2023-06-05 11:34:59[ INFO ]User: >>hashcode测试成功
2023-06-05 11:35:08[ INFO ]TestController: >>test测试成功
2023-06-05 11:35:08[ INFO ]UserController: >>login登录测试成功
